service_code,origin_iso2,dest_iso2,min_weight_kg,max_weight_kg,band_type,price,price_per_kg,min_charge,zone_label
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,0.9,0.9,FIXED,20.151463141522676,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.0,1.0,FIXED,21.781142777631885,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.1,1.1,FIXED,23.401809196559274,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.2,1.2,FIXED,25.022475615486666,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.3,1.3,FIXED,26.64314203441406,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.4,1.4,FIXED,28.263808453341447,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.5,1.5,FIXED,29.88447487226884,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.6,1.6,FIXED,31.505141291196235,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.7,1.7,FIXED,33.125807710123624,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.8,1.8,FIXED,34.74647412905101,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,1.9,1.9,FIXED,36.36714054797841,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,2.0,2.0,FIXED,37.987806966905794,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,2.5,2.5,FIXED,38.66153357863637,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,3.0,3.0,FIXED,41.02039415454546,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,3.5,3.5,FIXED,43.37024151327273,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,4.0,4.0,FIXED,45.72008887199999,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,4.5,4.5,FIXED,48.06993623072727,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,5.0,5.0,FIXED,50.419783589454546,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,6.0,6.0,FIXED,55.110465089727285,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,7.0,7.0,FIXED,59.80114659,,,AF
UPS_ECONOMY_DDU_EXPORT_FR,FR,AF,8.0,8.0,FIXED,64.49182809027273,,,AF
