scope_id,country_iso2
208,BF
208,BI
208,BJ
208,BW
208,CF
208,CG
208,CK
208,CM
208,DJ
208,ER
208,ET
208,FJ
208,GA
208,GH
208,GL
208,GM
208,GN
208,GQ
208,GU
208,GW
208,IQ
208,KE
208,KG
208,KI
208,KZ
208,LR
208,LS
208,MG
208,MH
208,ML
208,MN
208,MP
208,MR
208,MU
208,MV
208,MW
208,MZ
208,NA
208,NC
208,NE
208,NG
208,NR
208,NU
208,PF
208,PG
208,PW
208,RE
208,RW
208,SB
208,SC
208,SD
208,SL
208,SN
208,SO
208,SY
208,TD
208,TG
208,TM
208,TO
208,TV
208,TZ
208,UG
208,UZ
208,VU
208,WS
208,ZM
208,ZW
209,AL
209,BY
209,CY
209,IS
209,MD
209,ME
209,MT
209,RS
209,RU
209,TR
209,UA
210,AL
210,BY
210,CY
210,IS
210,MD
210,ME
210,MT
210,RS
210,RU
210,TR
210,UA
211,AL
211,BY
211,CY
211,IS
211,MD
211,ME
211,MT
211,RU
211,UA
212,AL
212,BY
212,CY
212,IS
212,MD
212,ME
212,MT
212,RS
212,RU
212,TR
212,UA
213,AL
213,BY
213,CY
213,IS
213,MD
213,ME
213,MT
213,RU
213,UA
214,AE
214,AM
214,AZ
214,BD
214,BH
214,BT
214,DZ
214,EG
214,GE
214,IL
214,IN
214,JO
214,KW
214,LB
214,LK
214,LY
214,MA
214,MM
214,NP
214,OM
214,PK
214,QA
214,SA
214,TN
214,YE
215,AE
215,AM
215,AZ
215,BD
215,BH
215,BT
215,DZ
215,EG
215,GE
215,IL
215,IN
215,JO
215,KW
215,LB
215,LK
215,LY
215,MA
215,MM
215,NP
215,OM
215,PK
215,QA
215,SA
215,TN
215,YE
216,AE
216,AM
216,AZ
216,BD
216,BH
216,BT
216,DZ
216,EG
216,GE
216,IL
216,IN
216,JO
216,KW
216,LB
216,LK
216,LY
216,MA
216,MM
216,NP
216,OM
216,PK
216,QA
216,SA
216,TN
216,YE
217,AE
217,AM
217,AZ
217,BD
217,BH
217,BT
217,DZ
217,EG
217,GE
217,IL
217,IN
217,JO
217,KW
217,LB
217,LK
217,LY
217,MA
217,MM
217,NP
217,OM
217,PK
217,QA
217,SA
217,TN
217,YE
218,AE
218,AM
218,AZ
218,BD
218,BH
218,BT
218,DZ
218,EG
218,GE
218,IL
218,IN
218,JO
218,KW
218,LB
218,LK
218,LY
218,MA
218,MM
218,NP
218,OM
218,PK
218,QA
218,SA
218,TN
218,YE
219,AD
219,ES
219,GI
219,IT
219,SM
220,AD
220,ES
220,GI
220,IT
220,SM
221,AD
222,AD
222,ES
222,GI
222,IT
223,AD
224,AI
224,AR
224,AW
224,BB
224,BM
224,BO
224,BR
224,BZ
224,CL
224,CO
224,CR
224,DM
224,DO
224,EC
224,GD
224,GF
224,GP
224,GT
224,GY
224,HN
224,HT
224,JM
224,KY
224,LC
224,MF
224,MQ
224,MX
224,NI
224,PA
224,PE
224,PR
224,PY
224,SR
224,SV
224,SX
224,UY
224,VE
224,VG
224,ZA
225,AI
225,AR
225,AW
225,BB
225,BM
225,BO
225,BR
225,BZ
225,CL
225,CO
225,CR
225,DM
225,DO
225,EC
225,GD
225,GF
225,GP
225,GT
225,GY
225,HN
225,HT
225,JM
225,KY
225,LC
225,MF
225,MQ
225,MX
225,NI
225,PA
225,PE
225,PR
